[2026-02-20 11:14:03] [INFO    ] discord.client: logging in using static token
[2026-02-20 11:14:04] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'READY', 's': 1, 'op': 0, 'd': {'v': 10, 'user_settings': {}, 'user': {'verified': True, 'username': 'WorldOfWarcraft Tracker Bot', 'primary_guild': None, 'mfa_enabled': False, 'id': '1473449830318739528', 'global_name': None, 'flags': 0, 'email': None, 'discriminator': '7917', 'clan': None, 'bot': True, 'avatar': None}, 'session_type': 'normal', 'session_id': 'a0bb7c1a66826038b76fe6acae0f6588', 'resume_gateway_url': 'wss://gateway-us-east1-d.discord.gg', 'relationships': [], 'private_channels': [], 'presences': [], 'guilds': [{'unavailable': True, 'id': '1473450657422905387'}], 'guild_join_requests': [], 'geo_ordered_rtc_regions': ['madrid', 'paris', 'milan', 'london', 'brussels'], 'game_relationships': [], 'auth': {}, 'application': {'id': '1473449830318739528', 'flags': 524288}, '_trace': ['["gateway-prd-arm-us-east1-d-nskz",{"micros":164321,"calls":["id_created",{"micros":416,"calls":[]},"session_lookup_time",{"micros":1167,"calls":[]},"session_lookup_finished",{"micros":14,"calls":[]},"discord-sessions-prd-2-198",{"micros":162118,"calls":["start_session",{"micros":136590,"calls":["discord-api-rpc-cd5f84f5-zrv8j",{"micros":56648,"calls":["get_user",{"micros":22251},"get_guilds",{"micros":8415},"send_scheduled_deletion_message",{"micros":13},"guild_join_requests",{"micros":4},"authorized_ip_coro",{"micros":10},"pending_payments",{"micros":1404},"apex_experiments",{"micros":56575},"sessions_experiments",{"micros":6},"user_activities",{"micros":4},"played_application_ids",{"micros":3},"linked_users",{"micros":3},"ad_personalization_toggles_disabled",{"micros":3},"regional_feature_config",{"micros":3}]}]},"starting_guild_connect",{"micros":57,"calls":[]},"presence_started",{"micros":326,"calls":[]},"guilds_started",{"micros":91,"calls":[]},"lobbies_started",{"micros":2,"calls":[]},"guilds_connect",{"micros":1,"calls":[]},"presence_connect",{"micros":25023,"calls":[]},"connect_finished",{"micros":25038,"calls":[]},"build_ready",{"micros":13,"calls":[]},"clean_ready",{"micros":0,"calls":[]},"optimize_ready",{"micros":0,"calls":[]},"split_ready",{"micros":0,"calls":[]}]}]}]']}}
[2026-02-20 11:14:04] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2026-02-20 11:14:04] [INFO    ] discord.gateway: Shard ID None has connected to Gateway (Session ID: a0bb7c1a66826038b76fe6acae0f6588).
[2026-02-20 11:14:04] [DEBUG   ] discord.client: Dispatching event connect
[2026-02-20 11:14:04] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'GUILD_CREATE', 's': 2, 'op': 0, 'd': {'nsfw_level': 0, 'icon': None, 'max_stage_video_channel_users': 50, 'incidents_data': None, 'safety_alerts_channel_id': None, 'profile': None, 'stage_instances': [], 'large': False, 'moderator_reporting': None, 'members': [{'user': {'username': 'WorldOfWarcraft Tracker Bot', 'public_flags': 0, 'primary_guild': None, 'id': '1473449830318739528', 'global_name': None, 'display_name_styles': None, 'display_name': None, 'discriminator': '7917', 'collectibles': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': None}, 'roles': ['1474170372806021252'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2026-02-19T22:26:45.735000+00:00', 'flags': 1, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}], 'system_channel_id': '1473450658136064245', 'features': ['PIN_PERMISSION_MIGRATION_COMPLETE', 'BYPASS_SLOWMODE_PERMISSION_MIGRATION_COMPLETE'], 'premium_progress_bar_enabled_user_updated_at': None, 'hub_type': None, 'home_header': None, 'stickers': [], 'activity_instances': [], 'member_count': 2, 'application_command_counts': {}, 'discovery_splash': None, 'owner_configured_content_level': 0, 'id': '1473450657422905387', 'channels': [{'version': 1771538379209, 'type': 4, 'position': 0, 'permission_overwrites': [], 'name': 'Canales de texto', 'id': '1473450658136064244', 'flags': 0}, {'version': 1771538379223, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 1, 'permission_overwrites': [], 'parent_id': '1473450658136064244', 'name': 'general', 'last_message_id': '1474309721061326931', 'id': '1473450658136064245', 'flags': 0}, {'version': 1771538379233, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 2, 'permission_overwrites': [], 'parent_id': '1473450658136064244', 'name': 'clips-y-destacados', 'last_message_id': None, 'id': '1473450658136064246', 'flags': 0}, {'version': 1771538379243, 'type': 4, 'position': 3, 'permission_overwrites': [], 'name': 'Canales de voz', 'id': '1473450658136064247', 'flags': 0}, {'version': 1771538379259, 'user_limit': 0, 'type': 2, 'rtc_region': None, 'rate_limit_per_user': 0, 'position': 4, 'permission_overwrites': [], 'parent_id': '1473450658136064247', 'name': 'Sala', 'last_message_id': None, 'id': '1473450658136064248', 'flags': 0, 'bitrate': 64000}, {'version': 1771538379264, 'user_limit': 0, 'type': 2, 'rtc_region': None, 'rate_limit_per_user': 0, 'position': 5, 'permission_overwrites': [], 'parent_id': '1473450658136064247', 'name': 'Juegos', 'last_message_id': None, 'id': '1473450658136064249', 'flags': 0, 'bitrate': 64000}], 'name': 'NH WoW', 'preferred_locale': 'en-US', 'premium_tier': 0, 'latest_onboarding_question_id': None, 'roles': [{'version': 1771538379151, 'unicode_emoji': None, 'tags': {}, 'position': 0, 'permissions': '2248473465835073', 'name': '@everyone', 'mentionable': False, 'managed': False, 'id': '1473450657422905387', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 0}, 'color': 0}, {'version': 1771540005661, 'unicode_emoji': None, 'tags': {'bot_id': '1473449830318739528'}, 'position': 1, 'permissions': '2252074691606528', 'name': 'WorldOfWarcraft Tracker', 'mentionable': False, 'managed': True, 'id': '1474170372806021252', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 0}, 'color': 0}], 'banner': None, 'unavailable': False, 'threads': [], 'mfa_level': 0, 'premium_features': None, 'premium_subscription_count': 0, 'guild_scheduled_events': [], 'description': None, 'max_members': 25000000, 'premium_progress_bar_enabled': False, 'inventory_settings': None, 'emojis': [], 'application_id': None, 'nsfw': False, 'region': 'deprecated', 'public_updates_channel_id': None, 'vanity_url_code': None, 'owner_id': '431091224271912981', 'verification_level': 0, 'lazy': True, 'joined_at': '2026-02-19T22:26:45.735000+00:00', 'splash': None, 'explicit_content_filter': 0, 'embedded_activities': [], 'presences': [], 'rules_channel_id': None, 'system_channel_flags': 0, 'max_video_channel_users': 25, 'default_message_notifications': 0, 'afk_timeout': 300, 'voice_states': [], 'version': 1771538379283, 'soundboard_sounds': [], 'afk_channel_id': None}}
[2026-02-20 11:14:04] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2026-02-20 11:14:04] [DEBUG   ] discord.client: Dispatching event guild_available
[2026-02-20 11:14:06] [DEBUG   ] discord.client: Dispatching event ready
[2026-02-20 11:14:40] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'TYPING_START', 's': 3, 'op': 0, 'd': {'user_id': '431091224271912981', 'timestamp': 1771582482, 'member': {'user': {'username': 'glovekoko', 'public_flags': 0, 'primary_guild': None, 'id': '431091224271912981', 'global_name': 'Glovekoko', 'display_name_styles': None, 'display_name': 'Glovekoko', 'discriminator': '0', 'collectibles': None, 'bot': False, 'avatar_decoration_data': None, 'avatar': '5e19433abdd0e055494290c7a679ed9c'}, 'roles': [], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2026-02-17T22:46:52.211000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'channel_id': '1473450658136064245', 'guild_id': '1473450657422905387'}}
[2026-02-20 11:14:40] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2026-02-20 11:14:40] [DEBUG   ] discord.client: Dispatching event typing
[2026-02-20 11:14:40] [DEBUG   ] discord.client: Dispatching event raw_typing
[2026-02-20 11:14:45] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 3.
[2026-02-20 11:14:45] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2026-02-20 11:15:03] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'MESSAGE_CREATE', 's': 4, 'op': 0, 'd': {'type': 0, 'tts': False, 'timestamp': '2026-02-20T10:15:04.502000+00:00', 'pinned': False, 'nonce': '1474348620969934848', 'mentions': [], 'mention_roles': [], 'mention_everyone': False, 'member': {'roles': [], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2026-02-17T22:46:52.211000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'id': '1474348625961160790', 'flags': 0, 'embeds': [], 'edited_timestamp': None, 'content': '!token', 'components': [], 'channel_type': 0, 'channel_id': '1473450658136064245', 'author': {'username': 'glovekoko', 'public_flags': 0, 'primary_guild': None, 'id': '431091224271912981', 'global_name': 'Glovekoko', 'display_name_styles': None, 'discriminator': '0', 'collectibles': None, 'clan': None, 'avatar_decoration_data': None, 'avatar': '5e19433abdd0e055494290c7a679ed9c'}, 'attachments': [], 'guild_id': '1473450657422905387'}}
[2026-02-20 11:15:03] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2026-02-20 11:15:03] [DEBUG   ] discord.client: Dispatching event message
[2026-02-20 11:15:03] [DEBUG   ] discord.client: Dispatching event command
[2026-02-20 11:15:04] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'MESSAGE_CREATE', 's': 5, 'op': 0, 'd': {'type': 0, 'tts': False, 'timestamp': '2026-02-20T10:15:06.039000+00:00', 'pinned': False, 'nonce': '11518008643079216486', 'mentions': [], 'mention_roles': [], 'mention_everyone': False, 'member': {'roles': ['1474170372806021252'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2026-02-19T22:26:45.735000+00:00', 'flags': 1, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'id': '1474348632408068126', 'flags': 0, 'embeds': [{'type': 'rich', 'title': 'Precio del Token de WoW', 'id': '1474348632408068127', 'description': 'El precio actual del token es: 392,513 oro', 'content_scan_version': 0, 'color': 15844367}], 'edited_timestamp': None, 'content': '', 'components': [], 'channel_type': 0, 'channel_id': '1473450658136064245', 'author': {'username': 'WorldOfWarcraft Tracker Bot', 'public_flags': 0, 'primary_guild': None, 'id': '1473449830318739528', 'global_name': None, 'display_name_styles': None, 'discriminator': '7917', 'collectibles': None, 'clan': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': None}, 'attachments': [], 'guild_id': '1473450657422905387'}}
[2026-02-20 11:15:04] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2026-02-20 11:15:04] [DEBUG   ] discord.client: Dispatching event message
[2026-02-20 11:15:04] [DEBUG   ] discord.http: POST https://discord.com/api/v10/channels/1473450658136064245/messages with {"embeds":[{"flags":0,"color":15844367,"type":"rich","description":"El precio actual del token es: 392,513 oro","title":"Precio del Token de WoW"}],"content":null,"components":[],"nonce":"11518008643079216486","enforce_nonce":true,"tts":false} has returned 200
[2026-02-20 11:15:04] [DEBUG   ] discord.http: POST /channels/{channel_id}/messages has found its initial rate limit bucket hash (62df3a8bf3cb0dd93018dd80d06039f6).
[2026-02-20 11:15:04] [DEBUG   ] discord.http: POST https://discord.com/api/v10/channels/1473450658136064245/messages has received {'type': 0, 'content': '', 'mentions': [], 'mention_roles': [], 'attachments': [], 'embeds': [{'type': 'rich', 'title': 'Precio del Token de WoW', 'description': 'El precio actual del token es: 392,513 oro', 'color': 15844367, 'content_scan_version': 0}], 'timestamp': '2026-02-20T10:15:06.039000+00:00', 'edited_timestamp': None, 'flags': 0, 'components': [], 'id': '1474348632408068126', 'channel_id': '1473450658136064245', 'author': {'id': '1473449830318739528', 'username': 'WorldOfWarcraft Tracker Bot', 'avatar': None, 'discriminator': '7917', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}, 'pinned': False, 'mention_everyone': False, 'tts': False, 'nonce': '11518008643079216486'}
[2026-02-20 11:15:04] [DEBUG   ] discord.client: Dispatching event command_completion
[2026-02-20 11:15:26] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 5.
[2026-02-20 11:15:26] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2026-02-20 11:16:07] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 5.
[2026-02-20 11:16:07] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2026-02-20 11:16:48] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 5.
[2026-02-20 11:16:49] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2026-02-20 11:17:30] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 5.
[2026-02-20 11:17:30] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2026-02-20 11:18:11] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 5.
[2026-02-20 11:18:11] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2026-02-20 11:18:52] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 5.
[2026-02-20 11:18:52] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2026-02-20 11:19:33] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 5.
[2026-02-20 11:19:34] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2026-02-20 11:20:15] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 5.
[2026-02-20 11:20:15] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2026-02-20 11:20:56] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 5.
[2026-02-20 11:20:56] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2026-02-20 11:21:37] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 5.
[2026-02-20 11:21:37] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2026-02-20 11:22:18] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 5.
[2026-02-20 11:22:19] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2026-02-20 11:23:00] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 5.
[2026-02-20 11:23:00] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2026-02-20 11:23:41] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 5.
[2026-02-20 11:23:41] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
